role,branch,job_description,skills
Data Scientist,CSE,"Looking for candidate with strong Python, SQL, Machine Learning, Statistics, and Data Visualization skills.","Python SQL Machine_Learning Statistics Data_Visualization"
Data Analyst,CSE,"Candidate must know Python, SQL, Excel, Power BI, and basic Statistics.","Python SQL Excel Power_BI Statistics"
Web Developer,CSE,"Strong knowledge of HTML, CSS, JavaScript, and React required. Basic NodeJS knowledge preferred.","HTML CSS JavaScript React NodeJS"
Backend Developer,CSE,"Experience with Python, Django, REST API, and SQL required.","Python Django REST_API SQL"
Cyber Security Analyst,CSE,"Knowledge of Network Security, Ethical Hacking, Linux, and Cryptography required.","Network_Security Ethical_Hacking Linux Cryptography"
DevOps Engineer,CSE,"Candidate should know Linux, Docker, Kubernetes, AWS, and Git.","Linux Docker Kubernetes AWS Git"
AI Engineer,CSE,"Candidate should know Python, TensorFlow, PyTorch, Deep Learning, and Neural Networks.","Python TensorFlow PyTorch Deep_Learning Neural_Networks"
Machine Learning Engineer,CSE,"Strong knowledge of Python, Scikit-Learn, Pandas, and Machine Learning algorithms.","Python Scikit_Learn Pandas Machine_Learning"
Data Engineer,CSE,"Candidate must know SQL, Python, Hadoop, Spark, and ETL processes.","SQL Python Hadoop Spark ETL"
Full Stack Developer,CSE,"Proficient in HTML, CSS, JavaScript, React, NodeJS, and SQL.","HTML CSS JavaScript React NodeJS SQL"
Cloud Engineer,CSE,"Experience with AWS, Azure, Docker, Kubernetes, and CI/CD pipelines.","AWS Azure Docker Kubernetes CI_CD"
Embedded Systems Engineer,ECE,"Strong knowledge of Embedded C, Microcontrollers, Arduino, and Raspberry Pi.","Embedded_C Microcontrollers Arduino Raspberry_Pi"
VLSI Engineer,ECE,"Experience in Verilog, VHDL, ASIC Design, and Cadence tools required.","Verilog VHDL ASIC_Design Cadence"
Communication Engineer,ECE,"Knowledge of Digital Communication, Signal Processing, and MATLAB required.","Digital_Communication Signal_Processing MATLAB"
IoT Engineer,ECE,"Candidate must know IoT, Sensors, Arduino, Raspberry Pi, and Python.","IoT Sensors Arduino Raspberry_Pi Python"
Electrical Engineer,EEE,"Knowledge of Power Systems, Electrical Machines, and Control Systems required.","Power_Systems Electrical_Machines Control_Systems"
Power Plant Engineer,EEE,"Understanding of Thermal Engineering, Boilers, and Power Generation systems required.","Thermal_Engineering Boilers Power_Generation"
Electrical Design Engineer,EEE,"Experience in AutoCAD Electrical and Panel Design required.","AutoCAD_Electrical Panel_Design"
Mechanical Design Engineer,Mechanical,"Strong skills in AutoCAD, SolidWorks, CATIA, and Engineering Drawing.","AutoCAD SolidWorks CATIA Engineering_Drawing"
Production Engineer,Mechanical,"Knowledge of Manufacturing Processes, Quality Control, and Lean Manufacturing.","Manufacturing_Processes Quality_Control Lean_Manufacturing"
Thermal Engineer,Mechanical,"Understanding of Thermodynamics, Heat Transfer, and Fluid Mechanics.","Thermodynamics Heat_Transfer Fluid_Mechanics"
Automobile Engineer,Mechanical,"Knowledge of Automotive Systems, Engine Design, and Vehicle Dynamics.","Automotive_Systems Engine_Design Vehicle_Dynamics"
Civil Site Engineer,Civil,"Experience in Construction Management, AutoCAD, and Site Supervision.","Construction_Management AutoCAD Site_Supervision"
Structural Engineer,Civil,"Knowledge of Structural Analysis, STAAD Pro, and ETABS.","Structural_Analysis STAAD_Pro ETABS"
Geotechnical Engineer,Civil,"Understanding of Soil Mechanics and Foundation Engineering.","Soil_Mechanics Foundation_Engineering"
Environmental Engineer,Civil,"Knowledge of Environmental Studies and Water Treatment Systems.","Environmental_Studies Water_Treatment"
Mining Engineer,Mining,"Candidate must know Mine Planning, Rock Mechanics, Drilling & Blasting, and Surface Mining.","Mine_Planning Rock_Mechanics Drilling_Blasting Surface_Mining"
Mine Planning Engineer,Mining,"Experience with Surpac, Geological Mapping, and Reserve Estimation.","Surpac Geological_Mapping Reserve_Estimation"
Drilling & Blasting Engineer,Mining,"Knowledge of Drilling Techniques, Explosives Handling, and Blast Design.","Drilling_Techniques Explosives_Handling Blast_Design"
Mine Safety Officer,Mining,"Understanding of Mine Safety, Risk Assessment, and Mining Laws.","Mine_Safety Risk_Assessment Mining_Laws"
Chemical Process Engineer,Chemical,"Knowledge of Chemical Reaction Engineering, Process Design, and Aspen Plus.","Chemical_Reaction_Engineering Process_Design Aspen_Plus"
Petroleum Engineer,Chemical,"Understanding of Reservoir Engineering and Drilling Engineering.","Reservoir_Engineering Drilling_Engineering"
Quality Control Engineer,Chemical,"Knowledge of Quality Testing, Process Control, and Industrial Safety.","Quality_Testing Process_Control Industrial_Safety"
Agricultural Engineer,Agricultural,"Knowledge of Farm Machinery, Irrigation Systems, and Soil Science.","Farm_Machinery Irrigation_Systems Soil_Science"
Biotechnology Engineer,Biotechnology,"Understanding of Molecular Biology, Bioprocess Engineering, and Microbiology.","Molecular_Biology Bioprocess_Engineering Microbiology"
Food Technologist,Food Technology,"Knowledge of Food Processing, Quality Testing, and Food Safety Standards.","Food_Processing Quality_Testing Food_Safety"